name,stars,forks,age_years,language,description,url,watchers,open_issues,releases,contributors,loc_total,cbo_avg,dit_avg,lcom_avg,wmc_avg,cc_avg,created_at,updated_at,loc_comments_total,classes_count,methods_count,cbo_max,dit_max,lcom_max,noc_avg,clone_url
apache/storm,1170,164,6.46,Java,A popular Java api for cloud,https://github.com/apache/storm,1223,,69,42,24684,19.66,4.16,6.34,28.38,5.48,2019-04-03T22:56:09.354289Z,2025-06-11T22:56:09.354292Z,4853.0,52.0,975.0,125.0,8.0,16.0,1.27,https://github.com/apache/storm.git
microsoft/gson,1166,459,10.86,Java,A popular Java common for commons,https://github.com/microsoft/gson,1077,,30,31,55855,20.24,5.3,28.03,34.8,9.21,2014-11-06T22:56:09.345046Z,2025-04-18T22:56:09.345048Z,10400.0,205.0,2159.0,107.0,15.0,106.0,4.86,https://github.com/microsoft/gson.git
gitlab/base-web,1164,392,9.04,Java,A popular Java service for kafka,https://github.com/gitlab/base-web,1160,,32,53,10738,16.49,1.36,55.74,33.15,6.58,2016-09-04T22:56:09.350986Z,2025-01-18T22:56:09.350989Z,3089.0,73.0,1030.0,65.0,2.0,133.0,0.83,https://github.com/gitlab/base-web.git
eclipse/commons,1163,303,2.9,Java,A popular Java common for cassandra,https://github.com/eclipse/commons,1018,,59,51,41310,6.81,5.84,33.31,28.09,8.01,2022-10-23T22:56:09.330713Z,2025-08-09T22:56:09.330715Z,11812.0,93.0,592.0,36.0,16.0,105.0,5.43,https://github.com/eclipse/commons.git
twitter/utils-api,1158,235,5.65,Java,A popular Java library for akka,https://github.com/twitter/utils-api,1350,,34,43,34964,10.28,2.56,8.9,23.49,10.23,2020-01-25T22:56:09.343566Z,2024-12-04T22:56:09.343568Z,7999.0,212.0,1770.0,47.0,6.0,29.0,6.03,https://github.com/twitter/utils-api.git
tencent/tool-web,1156,92,3.77,Java,A popular Java client for web,https://github.com/tencent/tool-web,989,,13,47,67321,15.24,2.81,18.87,9.16,5.71,2021-12-12T22:56:09.352399Z,2025-05-04T22:56:09.352402Z,16210.0,247.0,1976.0,35.0,4.0,31.0,2.67,https://github.com/tencent/tool-web.git
google/service-data-2,1148,437,9.69,Java,A popular Java core for tomcat,https://github.com/google/service-data-2,1259,,73,35,24599,7.33,2.74,19.1,8.58,10.7,2016-01-08T22:56:09.339773Z,2025-04-26T22:56:09.339777Z,4300.0,88.0,1567.0,19.0,7.0,55.0,3.01,https://github.com/google/service-data-2.git
dropbox/server-spring,1148,192,1.83,Java,A popular Java extension for jackson,https://github.com/dropbox/server-spring,1125,,91,30,23921,10.23,4.31,13.72,39.05,5.42,2023-11-19T22:56:09.349948Z,2025-05-03T22:56:09.349952Z,3377.0,78.0,1370.0,59.0,7.0,25.0,3.06,https://github.com/dropbox/server-spring.git
eclipse/core-cassandra,1138,381,2.0,Java,A popular Java utils for reactor,https://github.com/eclipse/core-cassandra,984,,68,22,44309,23.64,2.76,53.83,38.6,7.99,2023-09-18T22:56:09.322429Z,2025-07-21T22:56:09.322432Z,7306.0,148.0,2368.0,150.0,4.0,135.0,1.1,https://github.com/eclipse/core-cassandra.git
uber/framework-microservice-server,1130,205,9.03,Java,A popular Java tool for httpclient,https://github.com/uber/framework-microservice-server,1068,,7,20,71589,14.23,4.79,30.3,8.3,7.25,2016-09-06T22:56:09.322542Z,2025-01-30T22:56:09.322545Z,14638.0,287.0,5647.0,47.0,13.0,94.0,7.67,https://github.com/uber/framework-microservice-server.git
linkedin/guava,1129,203,6.33,Java,A popular Java service for spark,https://github.com/linkedin/guava,1350,,98,20,31249,22.19,3.82,14.51,17.25,7.74,2019-05-20T22:56:09.330249Z,2025-08-18T22:56:09.330253Z,4466.0,114.0,1484.0,94.0,10.0,33.0,0.97,https://github.com/linkedin/guava.git
spring/jackson-client,1128,271,13.53,Java,A popular Java utils for elasticsearch,https://github.com/spring/jackson-client,1170,,10,25,33390,22.78,5.11,41.64,22.68,8.03,2012-03-07T22:56:09.343258Z,2025-01-17T22:56:09.343260Z,6314.0,80.0,539.0,155.0,14.0,64.0,5.11,https://github.com/spring/jackson-client.git
eclipse/okhttp-spring,1126,186,5.55,Java,A popular Java base for data,https://github.com/eclipse/okhttp-spring,1320,,55,26,16535,24.61,4.11,40.19,19.09,8.14,2020-02-28T22:56:09.325742Z,2025-07-15T22:56:09.325745Z,2695.0,35.0,538.0,118.0,10.0,100.0,2.49,https://github.com/eclipse/okhttp-spring.git
apache/redis,1107,424,5.19,Java,A popular Java server for okhttp,https://github.com/apache/redis,1037,,69,26,3552,4.29,4.05,13.3,35.83,2.48,2020-07-10T22:56:09.357828Z,2024-09-19T22:56:09.357831Z,497.0,17.0,175.0,11.0,8.0,48.0,1.38,https://github.com/apache/redis.git
eclipse/rest,1097,228,9.65,Java,A popular Java shared for zookeeper,https://github.com/eclipse/rest,1273,,71,40,18881,13.09,4.45,8.95,10.19,7.31,2016-01-23T22:56:09.340913Z,2025-08-14T22:56:09.340916Z,4700.0,79.0,589.0,66.0,12.0,34.0,4.29,https://github.com/eclipse/rest.git
ibm/framework-boot-client,1069,288,14.81,Java,A popular Java api for redis,https://github.com/ibm/framework-boot-client,1097,,62,44,19093,23.03,1.93,41.6,37.87,8.96,2010-11-25T22:56:09.345149Z,2024-11-14T22:56:09.345151Z,2527.0,97.0,1014.0,146.0,3.0,139.0,6.01,https://github.com/ibm/framework-boot-client.git
spring/shared-reactor-java,1057,353,10.15,Java,A popular Java tool for boot,https://github.com/spring/shared-reactor-java,849,,47,55,43699,15.63,3.25,53.86,30.63,2.38,2015-07-25T22:56:09.342325Z,2024-11-30T22:56:09.342328Z,12261.0,149.0,2251.0,84.0,5.0,80.0,5.16,https://github.com/spring/shared-reactor-java.git
spring/utils-cloud-java,1053,131,13.08,Java,A popular Java core for cassandra,https://github.com/spring/utils-cloud-java,1033,,64,30,12417,22.57,1.2,56.88,12.19,11.43,2012-08-18T22:56:09.345894Z,2025-09-07T22:56:09.345896Z,2406.0,33.0,170.0,64.0,2.0,179.0,1.13,https://github.com/spring/utils-cloud-java.git
redhat/extension-api-server,1036,211,4.81,Java,A popular Java utils for elasticsearch,https://github.com/redhat/extension-api-server,1200,,84,21,39508,10.94,2.86,18.78,23.38,6.98,2020-11-27T22:56:09.346692Z,2025-05-20T22:56:09.346696Z,7051.0,102.0,724.0,29.0,5.0,35.0,7.72,https://github.com/redhat/extension-api-server.git
netflix/common-cassandra,1026,167,6.48,Java,A popular Java plugin for okhttp,https://github.com/netflix/common-cassandra,1121,,15,39,30257,20.16,2.79,47.42,13.73,5.85,2019-03-26T22:56:09.350871Z,2025-02-13T22:56:09.350874Z,8265.0,80.0,413.0,115.0,7.0,107.0,1.03,https://github.com/netflix/common-cassandra.git
microsoft/common-elasticsearch,1022,359,10.73,Java,A popular Java common for jackson,https://github.com/microsoft/common-elasticsearch,1188,,52,20,10053,3.14,2.35,31.93,37.16,4.16,2014-12-26T22:56:09.343818Z,2024-11-13T22:56:09.343820Z,2508.0,61.0,320.0,11.0,6.0,49.0,6.43,https://github.com/microsoft/common-elasticsearch.git
spotify/api-flink-v2,1018,67,9.8,Java,A popular Java shared for reactor,https://github.com/spotify/api-flink-v2,1206,,19,50,2241,4.37,5.22,33.58,24.42,6.34,2015-11-29T22:56:09.351131Z,2025-03-13T22:56:09.351138Z,347.0,17.0,204.0,18.0,11.0,53.0,1.23,https://github.com/spotify/api-flink-v2.git
alibaba/jetty,1016,226,7.59,Java,A popular Java library for cloud,https://github.com/alibaba/jetty,1032,,80,37,24690,7.78,3.64,10.6,22.24,4.76,2018-02-13T22:56:09.315191Z,2025-07-07T22:56:09.315194Z,4940.0,51.0,375.0,20.0,8.0,27.0,7.12,https://github.com/alibaba/jetty.git
github/gson-java,1013,287,1.84,Java,A popular Java shared for storm,https://github.com/github/gson-java,850,,80,38,20218,10.4,2.12,22.81,26.55,6.28,2023-11-17T22:56:09.347387Z,2025-02-16T22:56:09.347393Z,4243.0,51.0,476.0,22.0,4.0,82.0,5.97,https://github.com/github/gson-java.git
microsoft/jetty,1009,132,11.82,Java,A popular Java server for jetty,https://github.com/microsoft/jetty,920,,11,28,54971,11.97,2.86,11.8,21.43,11.54,2013-11-23T22:56:09.335105Z,2025-03-13T22:56:09.335108Z,10904.0,135.0,1257.0,57.0,5.0,31.0,4.99,https://github.com/microsoft/jetty.git
baidu/guava,1000,356,2.8,Java,A popular Java core for okhttp,https://github.com/baidu/guava,887,,83,44,17141,20.01,5.95,55.36,18.94,5.49,2022-12-01T22:56:09.327911Z,2024-12-10T22:56:09.327916Z,3818.0,82.0,1272.0,137.0,15.0,136.0,7.83,https://github.com/baidu/guava.git
maven/microservice,993,187,3.14,Java,A popular Java client for lucene,https://github.com/maven/microservice,795,,46,33,20938,13.41,4.95,53.4,25.47,4.83,2022-07-30T22:56:09.337066Z,2025-03-14T22:56:09.337069Z,5943.0,42.0,501.0,35.0,14.0,167.0,4.67,https://github.com/maven/microservice.git
ibm/service-hadoop,993,71,8.81,Java,A popular Java core for security,https://github.com/ibm/service-hadoop,824,,87,42,40646,4.96,5.37,19.81,23.36,5.23,2016-11-26T22:56:09.359031Z,2025-01-17T22:56:09.359034Z,7688.0,209.0,3845.0,22.0,15.0,36.0,3.31,https://github.com/ibm/service-hadoop.git
maven/tomcat-v2,986,163,4.33,Java,A popular Java plugin for jackson,https://github.com/maven/tomcat-v2,1134,,91,48,4217,19.97,3.54,47.28,11.33,4.02,2021-05-20T22:56:09.327496Z,2025-03-30T22:56:09.327498Z,1101.0,19.0,166.0,157.0,5.0,104.0,4.86,https://github.com/maven/tomcat-v2.git
gitlab/server-microservice,979,199,9.21,Java,A popular Java server for data,https://github.com/gitlab/server-microservice,904,,26,31,9888,23.42,1.99,22.02,9.39,6.39,2016-07-04T22:56:09.327986Z,2025-09-03T22:56:09.327989Z,2128.0,24.0,423.0,112.0,4.0,57.0,1.82,https://github.com/gitlab/server-microservice.git
facebook/cloud,977,236,7.94,Java,A popular Java extension for okhttp,https://github.com/facebook/cloud,793,,72,26,30451,24.68,4.02,55.22,22.02,4.36,2017-10-10T22:56:09.344034Z,2025-03-31T22:56:09.344035Z,7512.0,73.0,1244.0,72.0,11.0,211.0,3.73,https://github.com/facebook/cloud.git
eclipse/jetty-next,975,342,14.77,Java,A popular Java tool for microservice,https://github.com/eclipse/jetty-next,1075,,16,34,22485,14.1,1.09,6.74,26.54,3.34,2010-12-09T22:56:09.357595Z,2025-05-07T22:56:09.357599Z,6480.0,47.0,792.0,57.0,1.0,15.0,2.6,https://github.com/eclipse/jetty-next.git
sonar/spring-v2,971,161,3.58,Java,A popular Java core for rest,https://github.com/sonar/spring-v2,831,,15,36,52477,9.17,4.27,52.6,36.11,10.97,2022-02-18T22:56:09.341119Z,2025-05-31T22:56:09.341122Z,12963.0,124.0,644.0,34.0,8.0,175.0,6.51,https://github.com/sonar/spring-v2.git
twitter/jetty,971,114,8.58,Java,A popular Java utils for guava,https://github.com/twitter/jetty,783,,78,52,4512,6.86,1.63,48.71,28.66,6.48,2017-02-17T22:56:09.343917Z,2024-11-04T22:56:09.343919Z,963.0,26.0,476.0,23.0,4.0,88.0,2.93,https://github.com/twitter/jetty.git
airbnb/tomcat,966,299,13.87,Java,A popular Java server for zookeeper,https://github.com/airbnb/tomcat,1018,,15,53,26884,21.0,2.4,40.98,37.97,5.9,2011-11-03T22:56:09.356507Z,2025-05-25T22:56:09.356511Z,7845.0,201.0,2552.0,134.0,4.0,125.0,3.7,https://github.com/airbnb/tomcat.git
facebook/microservice-v2,964,268,8.93,Java,A popular Java server for security,https://github.com/facebook/microservice-v2,1002,,76,21,27154,24.5,3.44,46.35,19.46,11.45,2016-10-12T22:56:09.316526Z,2025-01-05T22:56:09.316529Z,6075.0,87.0,1488.0,168.0,7.0,80.0,5.56,https://github.com/facebook/microservice-v2.git
linkedin/common-flink,961,318,6.77,Java,A popular Java api for jetty,https://github.com/linkedin/common-flink,1017,,97,47,26851,8.3,1.86,43.03,31.86,8.12,2018-12-09T22:56:09.327287Z,2025-08-03T22:56:09.327289Z,6014.0,230.0,4392.0,46.0,4.0,161.0,5.13,https://github.com/linkedin/common-flink.git
square/tool-rest,953,244,5.66,Java,A popular Java base for spark,https://github.com/square/tool-rest,1055,,69,28,4045,12.59,1.64,41.97,37.46,6.23,2020-01-21T22:56:09.358663Z,2025-08-13T22:56:09.358666Z,631.0,11.0,211.0,70.0,4.0,64.0,0.74,https://github.com/square/tool-rest.git
baidu/commons,949,197,10.67,Java,A popular Java api for tomcat,https://github.com/baidu/commons,973,,12,15,15100,19.36,1.78,20.26,21.43,11.09,2015-01-15T22:56:09.320629Z,2025-08-28T22:56:09.320632Z,2213.0,54.0,340.0,111.0,4.0,57.0,6.5,https://github.com/baidu/commons.git
dropbox/cloud,949,79,4.08,Java,A popular Java core for reactor,https://github.com/dropbox/cloud,982,,59,42,11327,4.2,1.66,59.92,8.68,4.26,2021-08-21T22:56:09.356041Z,2025-09-02T22:56:09.356044Z,3227.0,38.0,356.0,22.0,4.0,127.0,4.7,https://github.com/dropbox/cloud.git
uber/cassandra,943,138,9.4,Java,A popular Java extension for mongodb,https://github.com/uber/cassandra,830,,84,24,42729,16.76,2.56,53.67,8.47,10.16,2016-04-23T22:56:09.355987Z,2025-04-03T22:56:09.355990Z,9261.0,146.0,1886.0,70.0,6.0,119.0,3.78,https://github.com/uber/cassandra.git
spotify/server-boot-java,942,214,3.19,Java,A popular Java plugin for data,https://github.com/spotify/server-boot-java,885,,17,14,26445,7.8,2.75,9.88,12.61,6.38,2022-07-11T22:56:09.345968Z,2025-07-24T22:56:09.345970Z,3176.0,59.0,807.0,50.0,4.0,27.0,3.74,https://github.com/spotify/server-boot-java.git
baidu/core-guava,939,114,10.74,Java,A popular Java library for mongodb,https://github.com/baidu/core-guava,839,,72,33,38017,22.73,5.85,34.49,22.65,7.34,2014-12-23T22:56:09.316907Z,2025-08-01T22:56:09.316910Z,9507.0,149.0,2416.0,116.0,10.0,88.0,3.44,https://github.com/baidu/core-guava.git
linkedin/boot,934,169,14.6,Java,A popular Java base for commons,https://github.com/linkedin/boot,928,,44,25,18395,3.39,1.86,8.48,24.38,5.79,2011-02-09T22:56:09.322103Z,2024-12-18T22:56:09.322106Z,2651.0,55.0,585.0,9.0,5.0,18.0,6.55,https://github.com/linkedin/boot.git
atlassian/flink-2,933,337,9.66,Java,A popular Java common for data,https://github.com/atlassian/flink-2,848,,32,38,22832,5.8,2.28,8.41,10.36,3.06,2016-01-22T22:56:09.334368Z,2024-10-29T22:56:09.334371Z,5843.0,46.0,476.0,28.0,5.0,20.0,3.04,https://github.com/atlassian/flink-2.git
redhat/microservice,931,332,9.45,Java,A popular Java tool for api,https://github.com/redhat/microservice,760,,37,47,47778,4.46,3.29,48.66,25.57,5.58,2016-04-06T22:56:09.344387Z,2025-05-04T22:56:09.344388Z,10950.0,388.0,2211.0,16.0,8.0,113.0,5.99,https://github.com/redhat/microservice.git
netflix/zookeeper,929,178,5.57,Java,A popular Java service for spring,https://github.com/netflix/zookeeper,1069,,63,35,28732,10.88,3.63,35.22,29.86,6.59,2020-02-21T22:56:09.351828Z,2025-09-15T22:56:09.351831Z,5334.0,80.0,1386.0,22.0,9.0,65.0,5.8,https://github.com/netflix/zookeeper.git
square/boot,928,172,9.52,Java,A popular Java common for rest,https://github.com/square/boot,959,,56,15,16505,15.58,5.68,55.17,17.03,6.34,2016-03-11T22:56:09.353724Z,2024-09-21T22:56:09.353726Z,3096.0,58.0,976.0,120.0,11.0,217.0,4.86,https://github.com/square/boot.git
netflix/mongodb-next,925,145,8.3,Java,A popular Java utils for cloud,https://github.com/netflix/mongodb-next,1057,,62,15,6259,13.5,3.36,28.0,23.14,5.23,2017-05-30T22:56:09.338440Z,2025-01-31T22:56:09.338442Z,1339.0,32.0,303.0,96.0,7.0,45.0,1.74,https://github.com/netflix/mongodb-next.git
amazon/service-hadoop,917,282,2.58,Java,A popular Java core for cloud,https://github.com/amazon/service-hadoop,1064,,17,34,9585,6.68,2.36,36.15,8.51,10.56,2023-02-19T22:56:09.357889Z,2025-03-25T22:56:09.357894Z,1515.0,82.0,1574.0,27.0,5.0,83.0,1.89,https://github.com/amazon/service-hadoop.git
ibm/data,914,262,11.09,Java,A popular Java api for rxjava,https://github.com/ibm/data,1039,,85,47,26366,4.0,1.75,19.59,27.59,4.19,2014-08-14T22:56:09.344080Z,2025-05-16T22:56:09.344081Z,4950.0,259.0,2199.0,24.0,4.0,55.0,3.34,https://github.com/ibm/data.git
twitter/framework-cloud-client,910,102,14.18,Java,A popular Java extension for boot,https://github.com/twitter/framework-cloud-client,1050,,72,21,27028,18.8,4.55,36.16,8.46,9.11,2011-07-15T22:56:09.336437Z,2025-07-13T22:56:09.336440Z,3376.0,69.0,1197.0,41.0,9.0,134.0,2.0,https://github.com/twitter/framework-cloud-client.git
linkedin/mongodb,908,339,14.23,Java,A popular Java utils for spring,https://github.com/linkedin/mongodb,1021,,20,19,33770,12.3,1.82,35.01,17.68,4.19,2011-06-27T22:56:09.337565Z,2025-04-07T22:56:09.337568Z,9830.0,74.0,514.0,39.0,3.0,116.0,1.95,https://github.com/linkedin/mongodb.git
jetbrains/okhttp,899,71,10.91,Java,A popular Java base for mongodb,https://github.com/jetbrains/okhttp,837,,97,43,43743,13.41,1.91,19.42,19.25,3.21,2014-10-19T22:56:09.331596Z,2025-05-24T22:56:09.331599Z,7231.0,200.0,3058.0,52.0,5.0,70.0,1.27,https://github.com/jetbrains/okhttp.git
netflix/spring-java,888,328,9.42,Java,A popular Java shared for microservice,https://github.com/netflix/spring-java,855,,68,39,10139,22.4,1.52,31.17,25.87,7.22,2016-04-17T22:56:09.360288Z,2025-08-01T22:56:09.360290Z,1891.0,20.0,280.0,136.0,2.0,113.0,4.8,https://github.com/netflix/spring-java.git
oracle/kafka-client,879,337,9.55,Java,A popular Java core for okhttp,https://github.com/oracle/kafka-client,968,,66,19,34720,12.93,3.78,35.38,8.49,11.23,2016-03-02T22:56:09.315526Z,2025-01-17T22:56:09.315529Z,4860.0,84.0,1252.0,36.0,6.0,98.0,3.08,https://github.com/oracle/kafka-client.git
airbnb/service-gson-2,876,209,6.54,Java,A popular Java client for commons,https://github.com/airbnb/service-gson-2,805,,66,26,20744,3.45,2.69,13.31,11.79,10.21,2019-03-04T22:56:09.336494Z,2025-07-18T22:56:09.336497Z,3749.0,94.0,1501.0,9.0,4.0,23.0,3.42,https://github.com/airbnb/service-gson-2.git
square/hbase,875,263,2.58,Java,A popular Java server for commons,https://github.com/square/hbase,1019,,32,15,22185,4.77,3.22,39.92,20.07,10.21,2023-02-17T22:56:09.315005Z,2024-12-27T22:56:09.315009Z,3956.0,81.0,1581.0,14.0,9.0,85.0,4.84,https://github.com/square/hbase.git
square/commons,874,230,14.43,Java,A popular Java framework for boot,https://github.com/square/commons,927,,37,46,30841,15.99,2.21,13.1,29.91,8.16,2011-04-13T22:56:09.318579Z,2025-04-28T22:56:09.318583Z,6797.0,254.0,4994.0,127.0,6.0,25.0,4.47,https://github.com/square/commons.git
ibm/jackson,868,297,4.91,Java,A popular Java utils for httpclient,https://github.com/ibm/jackson,724,,93,15,28481,18.98,2.55,7.49,20.1,11.54,2020-10-19T22:56:09.323049Z,2025-09-13T22:56:09.323053Z,7609.0,74.0,394.0,134.0,4.0,15.0,5.69,https://github.com/ibm/jackson.git
linkedin/retrofit,867,237,4.91,Java,A popular Java base for storm,https://github.com/linkedin/retrofit,821,,32,45,22646,19.51,4.0,9.47,15.33,9.49,2020-10-20T22:56:09.356448Z,2025-02-01T22:56:09.356452Z,5453.0,70.0,540.0,86.0,6.0,31.0,5.4,https://github.com/linkedin/retrofit.git
gitlab/commons-2,867,117,1.12,Java,A popular Java utils for storm,https://github.com/gitlab/commons-2,741,,69,43,24555,7.29,4.9,5.55,36.84,11.05,2024-08-06T22:56:09.341594Z,2025-08-05T22:56:09.341597Z,4276.0,49.0,838.0,21.0,9.0,10.0,6.41,https://github.com/gitlab/commons-2.git
google/rxjava,866,177,13.32,Java,A popular Java base for hbase,https://github.com/google/rxjava,869,,14,46,4826,23.19,4.43,17.96,19.89,9.72,2012-05-25T22:56:09.347558Z,2025-07-08T22:56:09.347565Z,747.0,12.0,189.0,157.0,8.0,27.0,2.37,https://github.com/google/rxjava.git
alibaba/hbase-2,858,303,14.1,Java,A popular Java library for gson,https://github.com/alibaba/hbase-2,786,,90,40,16180,4.65,4.25,54.65,11.74,8.61,2011-08-13T22:56:09.350431Z,2025-03-14T22:56:09.350435Z,4660.0,135.0,707.0,16.0,7.0,158.0,1.53,https://github.com/alibaba/hbase-2.git
maven/data,839,156,5.75,Java,A popular Java common for cassandra,https://github.com/maven/data,939,,47,15,11591,3.39,2.38,38.83,37.38,10.68,2019-12-20T22:56:09.353068Z,2025-04-06T22:56:09.353071Z,2636.0,66.0,379.0,13.0,5.0,67.0,2.66,https://github.com/maven/data.git
amazon/kafka,833,296,1.78,Java,A popular Java framework for rxjava,https://github.com/amazon/kafka,911,,37,41,14504,13.56,5.41,41.21,33.01,2.87,2023-12-08T22:56:09.335831Z,2025-02-23T22:56:09.335834Z,2403.0,36.0,480.0,62.0,11.0,164.0,5.08,https://github.com/amazon/kafka.git
netflix/okhttp,832,144,7.08,Java,A popular Java api for reactor,https://github.com/netflix/okhttp,915,,81,22,26278,20.9,5.54,47.89,31.87,7.37,2018-08-19T22:56:09.350271Z,2024-10-27T22:56:09.350273Z,5281.0,61.0,877.0,59.0,11.0,137.0,2.42,https://github.com/netflix/okhttp.git
jetbrains/netty,830,97,2.18,Java,A popular Java common for data,https://github.com/jetbrains/netty,824,,84,50,14916,11.15,3.9,28.79,19.99,10.55,2023-07-16T22:56:09.350653Z,2024-10-28T22:56:09.350656Z,2527.0,48.0,493.0,81.0,9.0,65.0,3.54,https://github.com/jetbrains/netty.git
oracle/lucene,830,109,8.33,Java,A popular Java tool for web,https://github.com/oracle/lucene,714,,96,26,20405,24.19,1.45,24.55,20.15,10.4,2017-05-21T22:56:09.325684Z,2024-12-26T22:56:09.325688Z,4691.0,62.0,401.0,190.0,3.0,89.0,1.77,https://github.com/oracle/lucene.git
microsoft/microservice-java,829,103,12.25,Java,A popular Java tool for hadoop,https://github.com/microsoft/microservice-java,905,,49,26,5284,15.51,5.03,26.93,9.77,10.41,2013-06-19T22:56:09.358477Z,2024-11-07T22:56:09.358481Z,879.0,26.0,291.0,36.0,11.0,55.0,3.92,https://github.com/microsoft/microservice-java.git
sonar/tomcat,826,128,14.03,Java,A popular Java library for lucene,https://github.com/sonar/tomcat,851,,44,19,21116,10.48,2.1,27.23,28.13,4.23,2011-09-08T22:56:09.323220Z,2025-07-18T22:56:09.323224Z,6139.0,90.0,1255.0,31.0,5.0,108.0,6.19,https://github.com/sonar/tomcat.git
netflix/api-hadoop,825,181,10.89,Java,A popular Java plugin for cloud,https://github.com/netflix/api-hadoop,886,,68,40,13500,21.24,4.45,31.99,33.51,7.28,2014-10-26T22:56:09.344977Z,2024-10-15T22:56:09.344978Z,2316.0,31.0,209.0,59.0,12.0,49.0,7.63,https://github.com/netflix/api-hadoop.git
twitter/security,823,147,12.68,Java,A popular Java service for cassandra,https://github.com/twitter/security,956,,32,50,12240,8.87,4.73,43.82,23.89,4.25,2013-01-11T22:56:09.356832Z,2025-01-24T22:56:09.356836Z,2533.0,101.0,849.0,41.0,10.0,97.0,7.18,https://github.com/twitter/security.git
eclipse/service-kafka,822,164,14.55,Java,A popular Java server for rest,https://github.com/eclipse/service-kafka,825,,17,25,24689,13.84,5.84,8.18,12.57,11.46,2011-03-02T22:56:09.351326Z,2024-12-16T22:56:09.351329Z,3155.0,51.0,915.0,85.0,12.0,18.0,4.48,https://github.com/eclipse/service-kafka.git
github/data,809,118,8.5,Java,A popular Java tool for storm,https://github.com/github/data,694,,22,27,1000,3.26,3.83,12.51,30.15,10.19,2017-03-17T22:56:09.317700Z,2025-09-08T22:56:09.317703Z,130.0,10.0,155.0,15.0,7.0,29.0,6.32,https://github.com/github/data.git
jetbrains/spark-server,801,92,1.15,Java,A popular Java shared for api,https://github.com/jetbrains/spark-server,892,,8,14,21134,19.42,5.42,41.91,38.44,4.91,2024-07-23T22:56:09.321671Z,2025-02-06T22:56:09.321674Z,4700.0,111.0,1689.0,42.0,13.0,93.0,5.51,https://github.com/jetbrains/spark-server.git
airbnb/cloud-core,800,103,12.77,Java,A popular Java base for hadoop,https://github.com/airbnb/cloud-core,670,,94,48,25918,24.25,5.29,56.45,20.26,5.38,2012-12-10T22:56:09.317187Z,2025-04-29T22:56:09.317190Z,6135.0,117.0,651.0,136.0,8.0,99.0,3.95,https://github.com/airbnb/cloud-core.git
microsoft/base-data,799,186,13.45,Java,A popular Java extension for spark,https://github.com/microsoft/base-data,822,,17,20,8951,20.31,2.24,34.36,31.52,9.82,2012-04-05T22:56:09.320152Z,2025-08-23T22:56:09.320155Z,1189.0,18.0,255.0,55.0,3.0,83.0,6.88,https://github.com/microsoft/base-data.git
apache/rest,795,228,6.82,Java,A popular Java common for web,https://github.com/apache/rest,752,,69,21,34862,8.73,5.72,7.43,17.82,6.46,2018-11-23T22:56:09.350374Z,2025-04-06T22:56:09.350377Z,5196.0,94.0,1243.0,39.0,13.0,11.0,2.74,https://github.com/apache/rest.git
gradle/lucene,788,173,12.59,Java,A popular Java service for api,https://github.com/gradle/lucene,695,,29,35,5492,11.54,3.43,45.37,8.9,11.62,2013-02-15T22:56:09.331534Z,2025-08-23T22:56:09.331538Z,601.0,16.0,181.0,75.0,9.0,109.0,0.72,https://github.com/gradle/lucene.git
github/extension-flink,786,47,12.81,Java,A popular Java library for jetty,https://github.com/github/extension-flink,894,,59,36,37827,15.83,5.98,35.13,13.43,9.93,2012-11-27T22:56:09.357773Z,2024-10-27T22:56:09.357778Z,10818.0,106.0,1092.0,39.0,11.0,116.0,1.45,https://github.com/github/extension-flink.git
square/zookeeper,779,143,5.41,Java,A popular Java extension for reactor,https://github.com/square/zookeeper,645,,25,26,1000,3.62,3.91,38.3,11.66,10.24,2020-04-19T22:56:09.347641Z,2024-10-30T22:56:09.347646Z,140.0,10.0,152.0,9.0,10.0,103.0,7.14,https://github.com/square/zookeeper.git
google/reactor,779,59,14.8,Java,A popular Java tool for security,https://github.com/google/reactor,913,,41,52,40899,22.99,4.41,55.26,32.95,3.69,2010-11-28T22:56:09.339598Z,2025-02-05T22:56:09.339601Z,10338.0,88.0,1022.0,168.0,9.0,184.0,1.35,https://github.com/google/reactor.git
tencent/hadoop,773,78,2.2,Java,A popular Java common for retrofit,https://github.com/tencent/hadoop,927,,92,29,21120,18.79,2.24,9.96,15.22,3.42,2023-07-06T22:56:09.357661Z,2024-12-23T22:56:09.357665Z,2664.0,64.0,1093.0,86.0,6.0,37.0,5.42,https://github.com/tencent/hadoop.git
github/okhttp-client,771,103,12.34,Java,A popular Java client for web,https://github.com/github/okhttp-client,778,,82,42,18027,18.8,5.58,49.06,18.94,11.4,2013-05-17T22:56:09.311959Z,2025-04-30T22:56:09.311962Z,2736.0,39.0,577.0,76.0,8.0,193.0,7.53,https://github.com/github/okhttp-client.git
netflix/jackson,770,160,14.86,Java,A popular Java common for spark,https://github.com/netflix/jackson,832,,54,40,1000,24.13,3.8,26.54,27.02,11.82,2010-11-06T22:56:09.312972Z,2025-01-26T22:56:09.312976Z,198.0,10.0,54.0,136.0,6.0,74.0,4.89,https://github.com/netflix/jackson.git
